Customer_ID,Recency,Frequency,Monetary
12346,164,33,372.86
12347,2,71,1323.32
12348,73,20,222.16
12349,42,102,2671.1400000000003
12351,10,21,300.93
12352,10,18,343.79999999999995
12353,43,20,317.75999999999993
12355,202,22,488.21
12356,15,84,3562.2499999999995
12357,23,165,12079.990000000002
12358,10,58,2719.01
12359,60,117,2563.36
12360,14,88,1590.83
12361,97,19,321.35
12362,373,1,130.0
12366,268,3,500.24
12368,263,18,917.6999999999999
12369,48,93,1791.1499999999999
12370,259,35,774.62
12371,44,104,2179.42
12373,259,37,763.0500000000001
12374,56,50,2246.29
12376,24,13,503.15000000000003
12377,16,75,1798.2
12378,197,82,1407.7
12379,57,41,767.98
12380,100,173,6951.49
12385,14,65,1938.3999999999999
12386,1,8,258.9
12387,50,9,143.94
12388,80,46,1120.45
12389,37,49,1433.33
12391,99,181,2312.5299999999997
12392,226,7,234.75000000000003
12393,17,43,816.8500000000001
12395,6,98,2048.6400000000003
12396,309,65,931.4300000000001
12399,20,51,853.65
12400,49,11,205.25
12402,27,59,1031.3000000000002
12403,156,4,591.6600000000001
12404,317,1,63.24
12406,34,61,2975.0599999999995
12408,20,54,1452.2199999999998
12409,55,155,12346.619999999999
12410,137,14,320.38
12411,44,22,346.9
12412,37,66,1370.0500000000002
12413,37,13,241.35
12414,98,10,390.0
12415,10,212,19543.84
12416,291,11,202.56
12417,45,179,3167.81
12418,48,68,1352.62
12419,20,25,503.01
12421,50,20,291.56
12422,29,133,4428.24
12423,22,40,763.08
12424,57,62,1579.0700000000006
12425,83,55,964.2099999999999
12426,297,47,762.4800000000002
12427,6,10,303.5
12429,0,76,3735.5099999999998
12431,8,170,4370.52
12433,1,286,7205.389999999999
12434,16,20,297.29
12435,31,76,6096.040000000001
12437,30,364,7731.99
12439,317,72,1158.18
12440,97,32,859.1999999999999
12441,1,11,173.55
12443,367,21,485.31
12445,55,20,301.58000000000004
12449,45,10,768.6
12450,34,29,490.32
12451,98,157,3634.3599999999997
12454,30,25,13151.439999999999
12455,80,137,3413.09
12457,70,22,632.68
12458,62,46,830.09
12459,240,23,454.3599999999999
12460,91,18,326.65
12466,317,1,56.73
12467,58,9,132.8
12468,161,112,2941.2
12469,157,76,3070.54
12470,324,23,211.95
