age,fnlwgt,education,relationship,race,sex,income,education_num,marital_status,capital_gain,capital_loss,hours_per_week,REP_native_country,REP_occupation,REP_workclass,_dataobs_
31,45781,Masters,Not-in-family,White,Female,>50K,14,Never-married,14084,0,50,United-States,Prof-specialty,Private,9
20,266015,Some-college,Own-child,Black,Male,<=50K,10,Never-married,0,0,44,United-States,Sales,Private,32
48,265477,Assoc-acdm,Husband,White,Male,<=50K,12,Married-civ-spouse,0,0,40,United-States,Prof-specialty,Self-emp-not-inc,40
53,88506,Bachelors,Husband,White,Male,<=50K,13,Married-civ-spouse,0,0,40,United-States,Prof-specialty,Self-emp-not-inc,42
47,51835,Prof-school,Wife,White,Female,>50K,15,Married-civ-spouse,0,1902,60,Honduras,Prof-specialty,Private,53
50,251585,Bachelors,Not-in-family,White,Male,>50K,13,Divorced,0,0,55,USA,Exec-managerial,Federal-gov,54
30,188146,HS-grad,Husband,White,Male,<=50K,9,Married-civ-spouse,5013,0,40,United-States,Machine-op-inspct,Private,60
30,59496,Bachelors,Husband,White,Male,<=50K,13,Married-civ-spouse,2407,0,40,United-States,Sales,Private,61
32,293936,7th-8th,Not-in-family,White,Male,<=50K,4,Married-spouse-absent,0,0,40,,,,62
31,309974,Bachelors,Own-child,Black,Female,<=50K,13,Separated,0,0,40,United-States,Sales,Private,72
23,211678,Some-college,Not-in-family,White,Male,<=50K,10,Never-married,0,0,40,United-States,Machine-op-inspct,Private,74
79,124744,Some-college,Other-relative,White,Male,<=50K,10,Married-civ-spouse,0,0,20,United-States,Prof-specialty,Private,75
18,309634,11th,Own-child,White,Female,<=50K,7,Never-married,0,0,22,United-States,Other-service,Private,79
43,410867,Doctorate,Not-in-family,White,Female,>50K,16,Never-married,0,0,50,United-States,Prof-specialty,Federal-gov,90
37,202683,Some-college,Husband,White,Male,>50K,10,Never-married,0,0,48,United-States,Sales,Private,98
44,198282,Bachelors,Husband,White,Male,>50K,13,Married-civ-spouse,15024,0,60,United-States,Exec-managerial,Private,102
20,188300,Some-college,Own-child,White,Female,<=50K,10,Never-married,0,0,40,United-States,Tech-support,Private,104
39,365739,Some-college,Not-in-family,White,Male,<=50K,10,Divorced,0,0,40,United-States,Craft-repair,Private,130
38,120985,HS-grad,Husband,White,Male,<=50K,9,Married-civ-spouse,4386,0,35,United-States,Craft-repair,Self-emp-not-inc,133
37,254202,Bachelors,Husband,White,Male,<=50K,13,Married-civ-spouse,0,0,50,United-States,Sales,Private,134
38,125933,Masters,Husband,White,Male,>50K,14,Married-civ-spouse,0,0,40,Iran,Prof-specialty,Federal-gov,136
51,96062,Some-college,Husband,White,Male,>50K,10,Never-married,0,1977,40,United-States,Sales,Private,173
27,253814,HS-grad,Unmarried,White,Female,<=50K,9,Married-spouse-absent,0,0,25,United-States,Sales,Private,176
24,32921,HS-grad,Not-in-family,White,Male,<=50K,9,Never-married,0,0,40,United-States,Sales,Self-emp-not-inc,200
